"","MVIR1HS101D0PBMC1RSQ1","MVIR1HS107D0PBMC1RSQ1","MVIR1HS109D0PBMC1RSQ1","MVIR1HS10D0PBMC1RSQ4","MVIR1HS111D0PBMC1RSQ1","MVIR1HS127D0PBMC1RSQ1","MVIR1HS130D0PBMC1RSQ1","MVIR1HS131D0PBMC1RSQ1","MVIR1HS143D0PBMC1RSQ1","MVIR1HS148D0PBMC1RSQ1","MVIR1HS149D0PBMC1RSQ1","MVIR1HS150D0PBMC1RSQ1","MVIR1HS151D0PBMC1RSQ1","MVIR1HS152D0PBMC1RSQ1","MVIR1HS154D0PBMC1RSQ1","MVIR1HS156D0PBMC1RSQ1","MVIR1HS157D0PBMC1RSQ1","MVIR1HS158D0PBMC1RSQ1","MVIR1HS161D0PBMC1RSQ1","MVIR1HS162D0PBMC1RSQ1","MVIR1HS165D0PBMC1RSQ1","MVIR1HS16D0PBMC1RSQ2","MVIR1HS170D0PBMC1RSQ1","MVIR1HS172D0PBMC1RSQ1","MVIR1HS175D0PBMC1RSQ1","MVIR1HS176D0PBMC1RSQ1","MVIR1HS185D0PBMC1RSQ1","MVIR1HS186D0PBMC1RSQ1","MVIR1HS187D0PBMC1RSQ1","MVIR1HS188D0PBMC1RSQ1","MVIR1HS191D0PBMC1RSQ1","MVIR1HS193D0PBMC1RSQ1","MVIR1HS194D0PBMC1RSQ1","MVIR1HS195D0PBMC1RSQ1","MVIR1HS196D0PBMC1RSQ1","MVIR1HS197D0PBMC1RSQ1","MVIR1HS199D0PBMC1RSQ1","MVIR1HS1D0PBMC1RSQ2","MVIR1HS200D0PBMC1RSQ1","MVIR1HS203D0PBMC1RSQ1","MVIR1HS204D0PBMC1RSQ1","MVIR1HS206D0PBMC1RSQ1","MVIR1HS207D0PBMC1RSQ1","MVIR1HS209D0PBMC1RSQ1","MVIR1HS211D0PBMC1RSQ1","MVIR1HS21D0PBMC1RSQ4","MVIR1HS224D0PBMC1RSQ1","MVIR1HS232D0PBMC1RSQ1","MVIR1HS233D0PBMC1RSQ1","MVIR1HS237D0PBMC1RSQ1","MVIR1HS23D0PBMC1RSQ1","MVIR1HS250D0PBMC1RSQ1","MVIR1HS253D0PBMC1RSQ1","MVIR1HS254D0PBMC1RSQ1","MVIR1HS256D0PBMC1RSQ1","MVIR1HS262D0PBMC1RSQ1","MVIR1HS265D0PBMC1RSQ1","MVIR1HS271D0PBMC1RSQ1","MVIR1HS283D0PBMC1RSQ1","MVIR1HS287D0PBMC1RSQ1","MVIR1HS288D0PBMC1RSQ1","MVIR1HS290D0PBMC1RSQ1","MVIR1HS292D0PBMC1RSQ1","MVIR1HS293D0PBMC1RSQ1","MVIR1HS294D0PBMC1RSQ1","MVIR1HS296D0PBMC1RSQ1","MVIR1HS304D0PBMC1RSQ1","MVIR1HS306D0PBMC1RSQ1","MVIR1HS313D0PBMC1RSQ1","MVIR1HS314D0PBMC1RSQ1","MVIR1HS315D0PBMC1RSQ1","MVIR1HS316D0PBMC1RSQ1","MVIR1HS317D0PBMC1RSQ1","MVIR1HS318D0PBMC1RSQ1","MVIR1HS31D0PBMC1RSQ1","MVIR1HS324D0PBMC1RSQ1","MVIR1HS326D0PBMC1RSQ1","MVIR1HS327D0PBMC1RSQ1","MVIR1HS328D0PBMC1RSQ1","MVIR1HS331D0PBMC1RSQ1","MVIR1HS340D0PBMC1RSQ1","MVIR1HS342D0PBMC1RSQ1","MVIR1HS343D0PBMC1RSQ1","MVIR1HS344D0PBMC1RSQ1","MVIR1HS345D0PBMC1RSQ1","MVIR1HS353D0PBMC1RSQ1","MVIR1HS38D0PBMC1RSQ4","MVIR1HS419D0PBMC1RSQ1","MVIR1HS43D0PBMC1RSQ1","MVIR1HS44D0PBMC1RSQ1","MVIR1HS450D0PBMC1RSQ1","MVIR1HS45D0PBMC1RSQ1","MVIR1HS47D0PBMC1RSQ1","MVIR1HS51D0PBMC1RSQ1","MVIR1HS52D0PBMC1RSQ1","MVIR1HS53D0PBMC1RSQ1","MVIR1HS57D0PBMC1RSQ1","MVIR1HS59D0PBMC1RSQ1","MVIR1HS60D0PBMC1RSQ1","MVIR1HS62D0PBMC1RSQ1","MVIR1HS64D0PBMC1RSQ1","MVIR1HS65D0PBMC1RSQ1","MVIR1HS66D0PBMC1RSQ1","MVIR1HS72D0PBMC1RSQ1","MVIR1HS76D0PBMC1RSQ1","MVIR1HS77D0PBMC1RSQ1","MVIR1HS78D0PBMC1RSQ1","MVIR1HS92D0PBMC1RSQ1","MVIR1HS93D0PBMC1RSQ1","MVIR1HS94D0PBMC1RSQ1","MVIR1HS95D0PBMC1RSQ1","MVIR1HS9D0PBMC1RSQ2"
"ENSG00000274012",18.68516301,17.64494017,17.10992938,8.317684253,17.41188479,5.610544377,18.64665839,17.84050731,18.16654446,18.78847609,18.53302448,10.52202754,16.8452759,5.62324984,17.53621707,10.03762152,9.278729282,9.575970872,15.87701628,9.31875297,9.007085437,10.77248423,10.61177992,10.73599698,10.50056133,6.118303159,7.363882919,9.988027658,5.674652511,5.684082444,10.8901594,10.08940882,10.33261679,6.146207428,6.030676931,11.29115471,5.924662571,9.670658972,5.759651791,10.96432135,11.58601961,6.081782801,6.250245408,5.969887259,11.46699732,9.040472227,10.30079978,5.862977442,10.05071399,11.6297018,10.3781309,6.232212968,5.674773633,5.755673855,6.070413888,10.87372151,5.697365346,6.024542146,5.815631306,5.898008028,5.942453608,11.2265406,6.086101315,5.925269946,5.987467556,5.772329428,5.684235031,6.105283998,5.991920482,5.885255837,9.872960782,10.38728357,10.33665731,6.077855204,19.51624855,5.879074991,5.705777665,5.85349738,5.970557065,10.29441912,6.012925059,13.66925509,9.79304935,5.816905565,6.001075915,6.010444085,12.30916682,8.651654436,18.57540403,19.2693169,9.67947749,18.53025238,18.96669914,19.77512536,17.91880013,18.46245286,19.47313892,18.97077381,18.24352953,19.68365798,18.29680261,18.29706848,19.13094734,19.48764521,17.87954835,9.868231035,16.94590123,16.03170222,17.20088012,18.10527325,17.30045125,9.553476687
"ENSG00000244734",17.93217508,20.92800829,19.02507955,19.26831637,11.94724863,19.17321352,5.549447615,17.59664262,15.21184836,6.140141369,5.234901474,11.87415624,17.15737799,22.61597709,21.48323377,20.23053897,20.46815524,13.61882805,18.76120906,12.72793463,17.17005229,19.48974307,18.24788345,18.4170831,16.13653361,13.76563428,17.50350251,15.16547061,23.1921311,25.78783762,20.82995029,19.40910258,17.13532062,24.29857444,19.83992699,23.75326831,23.95557364,22.74426432,20.96772274,21.05897283,12.19267179,18.9870029,18.19959498,18.89813464,21.88430123,21.64381309,15.04278224,20.87398399,21.09129321,23.32875549,24.50565487,21.12596202,22.68075678,22.73306426,13.06216517,15.3072676,22.10888577,19.22981049,20.50586012,17.49406813,15.32758974,19.15360637,21.44658015,19.68453501,14.24963524,23.98285573,19.08034171,24.70800316,18.70323557,16.63962294,15.11442897,19.2233622,16.34473966,15.55665658,9.407248817,18.55140319,20.35081829,19.45107489,22.65032374,18.59472046,19.38613235,21.67307607,17.35239193,16.22211094,20.5036426,23.14463284,24.86447727,15.17939128,20.19762067,5.632081389,21.15596577,22.6980421,22.03772966,9.488354368,15.75457751,8.797688155,5.234901474,18.91751681,11.41433293,5.568805829,5.949131768,13.93002627,5.234901474,20.98340267,15.46070002,24.07702677,23.25217138,23.66765493,14.94758122,21.80164351,17.47955198,20.70958192
"ENSG00000188536",16.03515377,18.41282296,15.87536133,16.64894092,9.720247664,17.04009141,5.522135925,15.87981749,13.38518788,5.234901474,5.234901474,10.85357488,15.34800298,20.45327201,19.5264145,17.42886493,18.45003749,12.15107399,16.71400808,10.97077109,15.11433074,17.86443237,16.32519989,17.2912212,13.73335973,11.89605608,15.6186474,13.22001249,20.57557199,23.04647194,18.79474949,17.25529569,15.24778731,21.80204581,18.10356201,21.02564916,21.72996916,21.45908299,18.74415238,19.08401968,10.60298641,16.71609312,15.97916735,16.6513364,19.85090655,19.5408732,13.29531434,18.5878714,19.11356916,20.28996608,22.05442853,18.70969829,20.81730297,20.46738689,10.98286181,14.15334468,20.24009161,17.02016698,18.05047009,15.42942968,13.30116956,17.28795429,19.06785417,17.26495819,12.44746587,21.52043482,17.02559716,22.30163038,16.36002728,14.63104163,13.79453758,17.14998206,14.51672966,13.38199024,9.518844209,16.40446414,17.96280465,17.19400701,20.31929069,17.16777713,17.0574729,20.22869711,14.57598951,14.20537498,18.24471975,20.68613476,23.6300031,13.53152485,17.37740396,5.234901474,18.25950637,20.20130107,19.78300908,7.807585106,14.06398616,6.922589055,5.234901474,16.53941634,10.16284488,5.568805829,5.53745688,12.41472427,5.234901474,19.1224293,14.09345234,21.95159997,21.00324935,21.494664,12.51680194,19.65600359,15.27494164,19.67017857
"ENSG00000206172",13.7601474,16.47607792,15.00552424,15.39766433,7.927619712,13.46940839,5.234901474,13.66852341,11.30700423,5.234901474,5.234901474,8.845398435,12.98514572,17.84019431,17.43864754,16.34781613,16.45515791,9.659580058,14.92162019,8.932855632,12.89356465,15.69487395,14.15940664,14.47146666,12.49561035,9.496310088,12.90686259,11.07681021,18.05014955,21.0661361,16.92817074,15.41083105,13.19272828,19.75726927,15.50130133,19.96702657,18.79763294,19.86115241,16.33298851,16.75515436,9.194636785,14.12040268,13.59335894,14.17224702,17.99470226,17.84477677,11.30479758,15.9605487,16.87401574,19.32766238,20.3648416,16.38601271,17.6176938,18.35215124,8.614918241,11.67768708,17.14788023,14.37312061,15.55069782,12.98806281,11.12313122,15.1829909,16.86492053,14.80994373,9.779786732,19.14915185,14.0485157,20.07912936,14.1964309,12.04206085,11.356595,15.14542297,12.48001728,10.90476908,8.867424655,13.92263697,16.00158746,14.5713299,17.82660574,14.55350018,15.00352226,17.64156135,13.42872953,11.71707622,15.80699237,18.63742577,21.96552286,10.93415974,16.64436416,5.234901474,17.15401665,18.53856269,18.27291297,6.902562446,11.71520157,6.604645978,5.234901474,14.48901779,8.276968135,5.471270379,5.482087414,9.747224007,5.234901474,17.18804294,11.64646744,20.20661132,19.24815612,19.7458954,9.810907119,17.67033984,12.65092904,17.58693377
"ENSG00000202538",13.84237109,13.12322988,12.99227236,6.048804334,13.17135185,5.560446396,14.1353836,13.80100701,13.95689774,13.81597174,13.93623188,6.409752937,12.08069714,5.429514836,12.86760408,6.149782927,6.076758235,5.981978772,10.96849147,5.598627971,5.851242474,6.449472184,6.10502042,6.375167896,6.183311072,6.35439127,6.268719117,6.153958716,5.432172614,5.553159113,6.517045168,6.395196975,6.291684082,5.766817286,5.741984425,5.698447874,5.995891814,5.759391641,6.169693465,6.764269208,7.599304485,5.513196397,6.28441155,5.234901474,6.696432664,5.514470909,6.476509371,5.234901474,6.81420122,6.104241322,6.086093154,5.86087503,5.234901474,5.904836376,6.10355341,6.598857958,5.697365346,5.234901474,5.234901474,5.487421731,5.615798537,7.104166754,6.122821671,6.221556394,5.592782156,5.906426606,5.234901474,5.234901474,5.831335921,5.234901474,6.025404451,5.934497249,6.421115875,5.660850646,19.96110425,5.499702404,5.471122034,5.741257944,5.526091114,6.526561266,5.49703603,6.153972739,6.036473182,5.234901474,5.657983778,6.685716058,6.020374658,6.100986658,13.7824527,15.04354383,5.234901474,13.6267766,13.76812122,15.16849536,13.80896704,13.96887855,15.30478237,13.71328673,13.40446527,15.50402968,13.20488512,13.60272926,15.04035493,13.77666365,13.40671694,6.793534939,14.86205189,13.94384225,12.55879917,13.46003824,12.99952672,5.538518854
"ENSG00000158578",12.34510644,14.27068573,13.14386944,11.10306061,6.46340353,12.29792142,8.711138346,11.99968651,8.873987596,9.097058018,7.355763746,5.981924564,10.71097103,16.43331462,15.83898913,13.74629396,15.14722797,8.101215015,12.83208958,7.229695412,11.7039435,10.99229085,12.62247814,11.31172491,9.612668846,7.363693236,8.70685541,9.6582122,16.23172582,20.09315658,14.80412453,12.93292247,10.7114192,18.366551,13.97130989,16.98811473,18.20670181,16.52858385,14.80330699,14.34702089,6.589420065,12.48252533,10.39136278,13.27067665,16.55511871,14.03350765,9.462229624,14.83358783,14.6893051,17.64278597,19.76292513,15.02141438,16.02703299,16.3519132,7.358252168,8.972212312,15.79410703,12.4100695,14.38671596,10.33432762,8.329731496,12.81071886,15.65109998,13.18598286,7.237820418,17.0524954,12.32066428,18.95958514,12.72791834,9.317754989,9.062556968,12.61024631,10.06233401,7.603649015,12.80995327,11.88673344,14.04078882,13.16435896,16.33035751,12.69961649,12.70105545,13.76829706,11.82166025,9.126410558,14.22332506,16.89130994,18.88650545,8.516800081,14.88211282,7.851644201,16.29990802,17.97909404,17.36181634,14.04945214,9.369658789,13.65932882,6.319572951,14.40925991,6.207482887,6.490948646,8.200046792,7.229736506,5.463725616,15.13910551,8.978838901,18.88414699,18.23766547,18.54795521,8.710022378,16.25328597,9.997194069,13.78002091
"ENSG00000200312",13.82295235,12.87122923,12.20514419,5.234901474,12.8169026,5.234901474,14.19050811,13.23822551,14.13298086,11.91395634,11.6624805,5.669385966,10.49908865,5.234901474,11.07688939,5.573814933,5.234901474,5.571982818,9.276728286,5.234901474,5.234901474,5.742892907,5.455528157,5.234901474,5.234901474,5.234901474,5.234901474,5.411428653,5.234901474,5.234901474,5.234901474,5.49159737,5.234901474,5.436922321,5.234901474,5.234901474,5.56245973,5.234901474,5.234901474,5.498793361,5.234901474,5.513196397,5.511474969,5.234901474,5.467185734,5.234901474,5.460993945,5.234901474,5.501947757,5.479384761,5.234901474,5.234901474,5.234901474,5.234901474,5.234901474,5.612087667,5.424374744,5.234901474,5.234901474,5.234901474,5.234901474,5.45721367,5.602149349,5.234901474,5.414185584,5.234901474,5.234901474,5.234901474,5.234901474,5.44212918,5.234901474,5.44771735,5.572473565,5.234901474,13.14087482,5.234901474,5.234901474,5.234901474,5.440978084,5.540652762,5.234901474,6.093766782,5.234901474,5.234901474,5.234901474,5.234901474,5.93914643,5.234901474,13.82826673,14.12107732,5.4067669,13.47951997,14.32113962,14.45764027,13.77390414,14.48797317,14.78218055,14.35700746,13.86598953,15.0235798,14.01673241,13.9422798,14.64409762,13.44149072,13.06105054,5.767235034,9.805216859,8.985675641,12.40356804,13.40018755,12.70245863,5.758868721
"ENSG00000133742",9.934184077,12.53948923,11.160206,10.04222983,6.025628063,8.810389588,7.226073492,9.161648059,7.359660984,5.880163382,6.587830001,6.094391123,8.861051938,16.17397817,13.75739295,10.80293038,12.47700873,6.717070122,11.0101472,7.043818312,9.978719002,9.197474487,10.4149593,8.542823892,7.878460843,6.554553263,8.206383503,8.356879621,12.1362189,17.63879307,12.72884883,10.33570897,9.114285288,16.48819159,10.55955311,17.53939234,15.36599699,13.102927,11.46606766,12.85182337,7.988144692,9.194635002,10.18470874,10.23952735,13.49513775,13.35657802,7.563997059,10.13625195,14.35129376,16.68555677,17.74863715,13.69970697,14.7886551,14.3612802,7.198002022,7.81796974,13.81365775,9.450204953,11.28959882,8.718596782,6.5646633,11.18438267,11.46158968,10.69456705,7.33494225,15.57342227,10.54117003,18.11751522,9.893449034,7.128232167,6.926189543,9.056303353,8.602009595,7.374780032,14.50710213,9.385014889,12.82802578,9.96343764,15.17532008,10.83831279,9.814250895,13.3862832,9.892513068,9.500023342,12.2062289,14.40299891,15.83116068,7.647542459,12.86130036,6.601297357,13.0942913,16.63190495,17.32610148,10.30124206,7.793561952,11.39848117,5.729067786,13.58892745,6.394584441,6.010356872,6.476270444,6.752320072,5.630412365,12.08922985,7.034182284,14.87458084,17.33176223,16.61906002,6.844297797,15.8204865,7.547868184,10.14260351
"ENSG00000223609",8.572785805,13.92228132,10.57992263,9.044350557,6.094624344,10.0697088,5.457538992,7.984820286,7.607177807,5.234901474,5.234901474,6.30758661,9.241405968,15.30661223,13.44487506,8.664872122,11.72810754,6.461715857,10.51327293,8.391433767,8.383358075,9.362223353,11.29106673,9.161064854,7.230947304,7.151226027,8.613540755,7.599096803,13.45064533,15.77224257,13.94370943,9.315826094,9.657159901,16.95876117,11.63138383,15.86788171,15.87500592,16.01278008,12.12119937,11.70020589,8.062536772,10.1025426,9.67293291,10.25731186,14.05238075,11.65722073,9.269209156,10.93381999,14.03893736,15.5942401,15.30301002,12.68077458,14.33221338,14.20900586,8.066549221,7.748106902,14.29916787,8.823501598,10.91822541,9.345007853,8.150708349,10.42735916,12.71113608,10.490697,7.189427815,15.68107362,11.24363824,16.4892556,10.20042952,8.089975247,7.492241971,9.224833959,9.103697265,8.054736457,8.271219938,10.39364441,12.67034612,11.1971111,14.3250278,11.79093013,9.736116771,14.56670038,10.71004196,9.311273947,11.30919624,14.92391375,18.80898194,9.481515935,12.77480758,5.234901474,12.48785231,14.36064375,15.52679513,5.586445124,7.228628749,5.930313732,5.234901474,12.21272764,7.075830958,5.234901474,5.409795088,6.306176266,5.234901474,12.05874027,6.859054785,14.64399522,16.94694133,16.25619554,7.898617369,15.22332964,8.290362153,11.85758255
"ENSG00000263740",13.45905385,12.29033568,11.66519217,5.902330428,12.21041597,5.423120424,13.57323016,12.66341786,13.15539357,12.07886322,11.6581502,6.457024918,10.06393653,5.234901474,10.63369508,6.285722706,6.076758235,6.115051906,9.187829032,6.039891019,5.944830753,6.908336157,5.959704035,6.375167896,6.451622323,5.234901474,5.919817477,6.229775522,5.432172614,5.234901474,6.54825021,6.480979393,6.39248159,5.234901474,5.234901474,6.937417453,5.56245973,5.909585465,5.498359128,6.525846751,6.555646346,5.234901474,5.625441152,5.234901474,6.598078811,6.063487505,6.38057308,5.234901474,6.127488499,6.814899872,6.18325873,5.234901474,5.432227285,5.234901474,5.479185963,6.399213547,5.234901474,5.234901474,5.234901474,5.234901474,5.234901474,6.975825465,5.494934513,5.234901474,5.414185584,5.587887351,5.475772439,5.234901474,5.53470721,5.44212918,6.025404451,6.148065589,6.330537546,5.234901474,13.39627467,5.234901474,5.471122034,5.234901474,5.234901474,6.460700631,5.234901474,9.589387714,5.858937141,5.441891569,5.479750429,5.234901474,7.280174287,5.798793554,13.2354512,13.72581288,5.956936786,13.09168713,13.50549873,14.69815583,12.82701321,13.54618324,14.25499266,13.95419502,13.18249961,14.33695791,13.09382747,13.27287261,14.04097268,13.74807011,12.73079347,6.194538622,10.21566874,9.387463542,11.58438678,12.98665796,11.87940736,6.345411341
